REGION_ADM_QC_TXT,ANNEE_MOIS,SECTEUR,Total (kWh)
Abitibi-Témiscamingue,2016-01-01,AGRICOLE,3708809.0
Abitibi-Témiscamingue,2016-02-01,INDUSTRIEL,309918515.82881254
Abitibi-Témiscamingue,2016-03-01,AGRICOLE,3354118.0
Abitibi-Témiscamingue,2016-03-01,INDUSTRIEL,311875159.8635148
Abitibi-Témiscamingue,2016-04-01,COMMERCIAL,42116061.0
Abitibi-Témiscamingue,2016-04-01,INDUSTRIEL,311381519.7587011
Abitibi-Témiscamingue,2016-05-01,COMMERCIAL,36092881.0
Abitibi-Témiscamingue,2016-06-01,COMMERCIAL,33759726.0
Abitibi-Témiscamingue,2016-06-01,INSTITUTIONNEL,15511406.981935484
Abitibi-Témiscamingue,2016-07-01,AGRICOLE,2158977.0
Abitibi-Témiscamingue,2016-07-01,INDUSTRIEL,305103775.9154638
Abitibi-Témiscamingue,2016-08-01,COMMERCIAL,36494774.0
Abitibi-Témiscamingue,2016-08-01,INDUSTRIEL,313590221.52029955
Abitibi-Témiscamingue,2016-09-01,AGRICOLE,2280292.0
Abitibi-Témiscamingue,2016-09-01,RÉSIDENTIEL,54765660.0
Abitibi-Témiscamingue,2016-10-01,INDUSTRIEL,312303657.875877
Abitibi-Témiscamingue,2016-10-01,INSTITUTIONNEL,20047044.089251466
Abitibi-Témiscamingue,2016-11-01,INDUSTRIEL,311615587.5217368
Abitibi-Témiscamingue,2016-12-01,COMMERCIAL,53872371.0
Abitibi-Témiscamingue,2017-01-01,COMMERCIAL,54986645.0
Abitibi-Témiscamingue,2017-01-01,INSTITUTIONNEL,30442174.064516127
Abitibi-Témiscamingue,2017-02-01,INSTITUTIONNEL,26999122.239746545
Abitibi-Témiscamingue,2017-02-01,RÉSIDENTIEL,140050705.0
Abitibi-Témiscamingue,2017-03-01,COMMERCIAL,54565457.0
Abitibi-Témiscamingue,2017-04-01,AGRICOLE,2862415.0
